school,suburb,state,postcode,score,schoolType,educationLevel
Loreto Kirribilli,KIRRIBILLI,NSW,2061,97,Private,secondary
St Aloysius' College,KIRRIBILLI,NSW,2061,99,Private,secondary
St Aloysius' College Junior School,KIRRIBILLI,NSW,2061,,Private,primary
Loreto Kirribilli,KIRRIBILLI,NSW,2061,98,Private,primary
Anzac Park Public School,CAMMERAY,NSW,2062,,Government,primary
Cammeray Public School,CAMMERAY,NSW,2062,98,Government,primary
St Philip Neri Catholic Primary School,NORTHBRIDGE,NSW,2063,98,Catholic,primary
"SHORE - Sydney Church of England Preparatory School, Northbridge",NORTHBRIDGE,NSW,2063,,Private,primary
Northbridge Public School,NORTHBRIDGE,NSW,2063,97,Government,primary
Artarmon Public School,ARTARMON,NSW,2064,100,Government,primary
Royal North Shore Hospital School,ST LEONARDS,NSW,2065,,Government,secondary
Greenwich Public School,GREENWICH,NSW,2065,,Government,primary
Naremburn School,NAREMBURN,NSW,2065,,Government,secondary
Royal North Shore Hospital School,ST LEONARDS,NSW,2065,,Government,primary
Bradfield College,ST LEONARDS,NSW,2065,,Government,secondary
North Sydney Boys High School,CROWS NEST,NSW,2065,100,Government,secondary
North Sydney Girls High School,CROWS NEST,NSW,2065,100,Government,secondary
Cammeraygal High School,CROWS NEST,NSW,2065,94,Government,secondary
International Chinese School,ST LEONARDS,NSW,2065,,Private,primary
Lane Cove Public School,LANE COVE,NSW,2066,98,Government,primary
Currambena Primary School,LANE COVE,NSW,2066,,Private,primary
Saint Ignatius' College,LANE COVE,NSW,2066,96,Private,secondary
St Michael's Catholic Primary School,LANE COVE,NSW,2066,,Catholic,primary
"Saint Ignatius' College, The Regis Campus",LANE COVE,NSW,2066,,Private,primary
Mowbray Public School,LANE COVE,NSW,2066,98,Government,primary
Lane Cove West Public School,LANE COVE,NSW,2066,,Government,primary
Aurora College,LANE COVE NORTH,NSW,2066,,Government,secondary
"Aspect Vern Barnett School, Lane Cove",LANE COVE,NSW,2066,,Private,primary
Chatswood Public School,CHATSWOOD,NSW,2067,99,Government,primary
St Pius X College,CHATSWOOD,NSW,2067,,Private,primary
Our Lady of Dolours Catholic Primary School,CHATSWOOD,NSW,2067,99,Catholic,primary
Mercy Catholic College,CHATSWOOD,NSW,2067,95,Catholic,secondary
St Pius X College,CHATSWOOD,NSW,2067,97,Private,secondary
International Chinese School,CHATSWOOD,NSW,2067,,Private,primary
