school,suburb,state,postcode,score,schoolType,educationLevel
Yuluma Primary School,INNALOO,WA,6018,94,Government,primary
Newman College,CHURCHLANDS,WA,6018,94,Private,secondary
Woodlands Primary School,WOODLANDS,WA,6018,93,Government,primary
St Mary's Anglican Girls' School,KARRINYUP,WA,6018,99,Private,secondary
St Mary's Anglican Girls' School,KARRINYUP,WA,6018,99,Private,primary
Churchlands Senior High School,CHURCHLANDS,WA,6018,97,Government,secondary
Doubleview Primary School,DOUBLEVIEW,WA,6018,98,Government,primary
Our Lady of Good Counsel School,KARRINYUP,WA,6018,93,Catholic,primary
Deanmore Primary School,KARRINYUP,WA,6018,92,Government,primary
Lake Gwelup Primary School,GWELUP,WA,6018,96,Government,primary
Newborough Primary School,KARRINYUP,WA,6018,95,Government,primary
Karrinyup Primary School,KARRINYUP,WA,6018,96,Government,primary
St Dominic's School,INNALOO,WA,6018,,Catholic,primary
Newman College,CHURCHLANDS,WA,6018,91,Private,primary
Wembley Downs Primary School,WEMBLEY DOWNS,WA,6019,93,Government,primary
Hale School,WEMBLEY DOWNS,WA,6019,99,Private,primary
Scarborough Primary School,SCARBOROUGH,WA,6019,92,Government,primary
St John's School,SCARBOROUGH,WA,6019,,Catholic,primary
Hale School,WEMBLEY DOWNS,WA,6019,99,Private,secondary
Sorrento Primary School,SORRENTO,WA,6020,95,Government,primary
Sacred Heart College,SORRENTO,WA,6020,95,Catholic,secondary
Marmion Primary School,MARMION,WA,6020,91,Government,primary
North Beach Primary School,NORTH BEACH,WA,6020,95,Government,primary
Our Lady of Grace School,NORTH BEACH,WA,6020,93,Catholic,primary
Carine Primary School,CARINE,WA,6020,97,Government,primary
Carine Senior High School,CARINE,WA,6020,96,Government,secondary
St Lawrence Primary School,BALCATTA,WA,6021,,Catholic,primary
Takari Primary School,BALCATTA,WA,6021,,Government,primary
West Balcatta Primary School,BALCATTA,WA,6021,95,Government,primary
Balcatta Senior High School,BALCATTA,WA,6021,,Government,secondary
Balcatta Primary School,BALCATTA,WA,6021,95,Government,primary
West Coast Language Development Centre - East Hamersley Campus,HAMERSLEY,WA,6022,,Government,primary
West Coast Language Development Centre - Glendale Campus,HAMERSLEY,WA,6022,,Government,primary
Glendale Primary School,HAMERSLEY,WA,6022,91,Government,primary
East Hamersley Primary School,HAMERSLEY,WA,6022,91,Government,primary
St Stephen's School,DUNCRAIG,WA,6023,93,Private,primary
Davallia Primary School,DUNCRAIG,WA,6023,95,Government,primary
Duncraig Primary School,DUNCRAIG,WA,6023,94,Government,primary
Glengarry Primary School,DUNCRAIG,WA,6023,95,Government,primary
Duncraig Senior High School,DUNCRAIG,WA,6023,95,Government,secondary
St Stephen's School,DUNCRAIG,WA,6023,94,Private,secondary
Poynter Primary School,DUNCRAIG,WA,6023,99,Government,primary
SEDA College WA (Warwick),WARWICK,WA,6024,,Private,secondary
Warwick Senior High School,WARWICK,WA,6024,,Government,secondary
Hawker Park Primary School,WARWICK,WA,6024,95,Government,primary
SEDA College WA (Lloyd Drive Warwick),WARWICK,WA,6024,,Private,secondary
Liwara Catholic Primary School,GREENWOOD,WA,6024,92,Catholic,primary
Greenwood Primary School,GREENWOOD,WA,6024,,Government,primary
West Greenwood Primary School,GREENWOOD,WA,6024,,Government,primary
Greenwood College,GREENWOOD,WA,6024,91,Government,secondary
West Coast Secondary Education Support Centre,WARWICK,WA,6024,,Government,secondary
St Mark's Anglican Community School,HILLARYS,WA,6025,95,Private,secondary
Craigie Heights Primary School,CRAIGIE,WA,6025,,Government,primary
School Of Special Educational Needs: Sensory,PADBURY,WA,6025,,Government,primary
School of Special Educational Needs: Behaviour and Engagement,PADBURY,WA,6025,,Government,secondary
St Mark's Anglican Community School,HILLARYS,WA,6025,94,Private,primary
Padbury Catholic Primary School,PADBURY,WA,6025,95,Catholic,primary
Whitford Catholic Primary School,CRAIGIE,WA,6025,,Catholic,primary
South Padbury Primary School,PADBURY,WA,6025,90,Government,primary
Bambara Primary School,PADBURY,WA,6025,98,Government,primary
Padbury Primary School,PADBURY,WA,6025,92,Government,primary
Springfield Primary School,KALLAROO,WA,6025,,Government,primary
West Coast Language Development Centre,PADBURY,WA,6025,,Government,primary
St Stephen's School - Early Learning Centre,PADBURY,WA,6025,,Private,primary
Hillarys Primary School,HILLARYS,WA,6025,94,Government,primary
Woodvale Secondary College,WOODVALE,WA,6026,93,Government,secondary
Goollelal Primary School,KINGSLEY,WA,6026,,Government,primary
Creaney Primary School,KINGSLEY,WA,6026,95,Government,primary
Halidon Primary School,KINGSLEY,WA,6026,90,Government,primary
St Luke's Catholic Primary School,WOODVALE,WA,6026,,Catholic,primary
Creaney Education Support Centre,KINGSLEY,WA,6026,,Government,primary
The Montessori School,KINGSLEY,WA,6026,91,Private,primary
Dalmain Primary School,KINGSLEY,WA,6026,91,Government,primary
North Woodvale Primary School,WOODVALE,WA,6026,96,Government,primary
Woodvale Primary School,WOODVALE,WA,6026,92,Government,primary
The Montessori School,KINGSLEY,WA,6026,96,Private,secondary
Beaumaris Primary School,OCEAN REEF,WA,6027,93,Government,primary
Prendiville Catholic College,OCEAN REEF,WA,6027,92,Catholic,secondary
Ocean Reef Primary School,OCEAN REEF,WA,6027,,Government,primary
Mater Dei College,EDGEWATER,WA,6027,,Catholic,secondary
Alta-1 College - Mullaloo Campus,MULLALOO,WA,6027,,Private,secondary
Belridge Secondary College,BELDON,WA,6027,,Government,secondary
Beldon Primary School,BELDON,WA,6027,,Government,primary
Beldon Education Support Centre,BELDON,WA,6027,,Government,primary
Belridge Secondary Education Support Centre,BELDON,WA,6027,,Government,secondary
Edgewater Primary School,EDGEWATER,WA,6027,92,Government,primary
Mullaloo Heights Primary School,MULLALOO,WA,6027,93,Government,primary
Ocean Reef Senior High School,OCEAN REEF,WA,6027,,Government,secondary
St Simon Peter Catholic Primary School,OCEAN REEF,WA,6027,,Catholic,primary
Mullaloo Beach Primary School,MULLALOO,WA,6027,91,Government,primary
Alta-1 College - Girls' Campus Joondalup,JOONDALUP,WA,6027,,Private,secondary
West Coast Language Development Centre - Poseidon Campus,HEATHRIDGE,WA,6027,,Government,primary
Poseidon Primary School,HEATHRIDGE,WA,6027,,Government,primary
Alta-1 College - Winton Road Joondalup Campus,JOONDALUP,WA,6027,,Private,secondary
Connolly Primary School,CONNOLLY,WA,6027,92,Government,primary
Alta-1 College - Joondalup Campus,JOONDALUP,WA,6027,,Private,secondary
Eddystone Primary School,HEATHRIDGE,WA,6027,,Government,primary
Joondalup Primary School,JOONDALUP,WA,6027,,Government,primary
Joondalup Education Support Centre,JOONDALUP,WA,6027,,Government,primary
Lake Joondalup Baptist College,JOONDALUP,WA,6027,93,Private,primary
Lake Joondalup Baptist College,JOONDALUP,WA,6027,92,Private,secondary
Heathridge Primary School,HEATHRIDGE,WA,6027,,Government,primary
Currambine Primary School,CURRAMBINE,WA,6028,,Government,primary
Burns Beach Primary School,BURNS BEACH,WA,6028,,Government,primary
Kinross Primary School,KINROSS,WA,6028,,Government,primary
Francis Jordan Catholic School,CURRAMBINE,WA,6028,,Catholic,primary
Kinross College,KINROSS,WA,6028,,Government,secondary
Peter Moyes Anglican Community School,MINDARIE,WA,6030,92,Private,secondary
Peter Moyes Anglican Community School,MINDARIE,WA,6030,,Private,primary
Somerly Primary School,CLARKSON,WA,6030,,Government,primary
St Andrew's Catholic Primary School,CLARKSON,WA,6030,,Catholic,primary
Clarkson Community High School,CLARKSON,WA,6030,,Government,secondary
Mindarie Senior College,MINDARIE,WA,6030,,Government,secondary
Mindarie Primary School,MINDARIE,WA,6030,,Government,primary
Clarkson Primary School,CLARKSON,WA,6030,,Government,primary
Quinns Baptist College,MINDARIE,WA,6030,,Private,secondary
Quinns Baptist College,MINDARIE,WA,6030,92,Private,primary
Youth Futures Community School,CLARKSON,WA,6030,,Private,secondary
Quinns Beach Primary School,QUINNS ROCKS,WA,6030,,Government,primary
Alta-1 College - Merriwa Campus,MERRIWA,WA,6030,,Private,secondary
Youth Futures Community School (Clarkson),CLARKSON,WA,6030,,Private,secondary
Merriwa Primary School,MERRIWA,WA,6030,,Government,primary
Quinns Rocks Primary School,QUINNS ROCKS,WA,6030,,Government,primary
Alkimos Baptist College,MERRIWA,WA,6030,,Private,secondary
Alkimos Baptist College,MERRIWA,WA,6030,,Private,primary
Merriwa Education Support Centre,MERRIWA,WA,6030,,Government,primary
West Coast Language Development Centre - Quinns Beach Campus,QUINNS ROCKS,WA,6030,,Government,primary
Banksia Grove Primary School,BANKSIA GROVE,WA,6031,,Government,primary
Grandis Primary School,BANKSIA GROVE,WA,6031,,Government,primary
Carramar Primary School,CARRAMAR,WA,6031,,Government,primary
Joseph Banks Secondary College,BANKSIA GROVE,WA,6031,,Government,secondary
St John Paul II Catholic Primary School,BANKSIA GROVE,WA,6031,,Catholic,primary
Yanchep Rise Primary School,YANCHEP,WA,6035,,Government,primary
Yanchep Lagoon Primary School,YANCHEP,WA,6035,,Government,primary
Yanchep Secondary College,YANCHEP,WA,6035,,Government,secondary
Yanchep Beach Primary School,YANCHEP,WA,6035,,Government,primary
John Butler Primary College,BUTLER,WA,6036,,Government,primary
Butler College,BUTLER,WA,6036,,Government,secondary
East Butler Primary School,BUTLER,WA,6036,,Government,primary
Irene McCormack Catholic College,BUTLER,WA,6036,,Catholic,secondary
Butler Primary School,BUTLER,WA,6036,,Government,primary
St Francis of Assisi Catholic Primary School,BUTLER,WA,6036,,Catholic,primary
Two Rocks Primary School,TWO ROCKS,WA,6037,,Government,primary
Atlantis Beach Baptist College,TWO ROCKS,WA,6037,,Private,primary
Atlantis Beach Baptist College,TWO ROCKS,WA,6037,,Private,secondary
Northshore Christian Grammar School,ALKIMOS,WA,6038,,Private,primary
Alkimos Primary School,ALKIMOS,WA,6038,,Government,primary
St James' Anglican School,ALKIMOS,WA,6038,,Private,secondary
Shorehaven Primary School,ALKIMOS,WA,6038,,Government,primary
Alkimos College,ALKIMOS,WA,6038,,Government,secondary
Northshore Christian Grammar School,ALKIMOS,WA,6038,,Private,secondary
Alkimos Beach Primary School,ALKIMOS,WA,6038,,Government,primary
St James' Anglican School,ALKIMOS,WA,6038,,Private,primary
Lancelin Primary School,LANCELIN,WA,6044,,Government,primary
Mount Lawley Primary School,MOUNT LAWLEY,WA,6050,97,Government,primary
Mount Lawley Senior High School,MOUNT LAWLEY,WA,6050,97,Government,secondary
Perth College,MOUNT LAWLEY,WA,6050,96,Private,primary
Perth College,MOUNT LAWLEY,WA,6050,98,Private,secondary
Coolbinia Primary School,COOLBINIA,WA,6050,95,Government,primary
Sir David Brand School,COOLBINIA,WA,6050,,Government,secondary
Sir David Brand School,COOLBINIA,WA,6050,,Government,primary
St Paul's Primary School,MOUNT LAWLEY,WA,6050,99,Catholic,primary
Maylands Peninsula Primary School,MAYLANDS,WA,6051,91,Government,primary
Bold Park Community School - Maylands,MAYLANDS,WA,6051,,Private,secondary
Inglewood Primary School,INGLEWOOD,WA,6052,97,Government,primary
Chisholm Catholic College,BEDFORD,WA,6052,96,Catholic,secondary
St Peter's Primary School,INGLEWOOD,WA,6052,94,Catholic,primary
Bayswater Primary School,BAYSWATER,WA,6053,96,Government,primary
St Columba's School,BAYSWATER,WA,6053,96,Catholic,primary
Hillcrest Primary School,BAYSWATER,WA,6053,,Government,primary
Durham Road School,BAYSWATER,WA,6053,,Government,primary
Durham Road School,BAYSWATER,WA,6053,,Government,secondary
Bassendean Primary School,BASSENDEAN,WA,6054,,Government,primary
Kiara College,KIARA,WA,6054,,Government,secondary
Ashfield Primary School,ASHFIELD,WA,6054,,Government,primary
Lockridge Primary School,LOCKRIDGE,WA,6054,,Government,primary
Cyril Jackson Senior Campus,BASSENDEAN,WA,6054,,Government,secondary
Cyril Jackson Senior Campus Education Support Centre,BASSENDEAN,WA,6054,,Government,secondary
Eden Hill Primary School,EDEN HILL,WA,6054,,Government,primary
Good Shepherd Catholic School,LOCKRIDGE,WA,6054,,Catholic,primary
Anzac Terrace Primary School,BASSENDEAN,WA,6054,93,Government,primary
Casa Mia Montessori Community School,BASSENDEAN,WA,6054,,Private,primary
St Michael's School,BASSENDEAN,WA,6054,94,Catholic,primary
Caversham Training and Education Centre,CAVERSHAM,WA,6055,,Private,special
Brabham Primary School,BRABHAM,WA,6055,,Government,primary
Helena River Steiner School - Secondary Campus,HAZELMERE,WA,6055,,Private,secondary
Guildford Primary School,GUILDFORD,WA,6055,96,Government,primary
Guildford Grammar School,GUILDFORD,WA,6055,,Private,primary
Caversham Primary School,WEST SWAN,WA,6055,,Government,primary
Riverlands Montessori School,DAYTON,WA,6055,,Private,primary
Caversham Valley Primary School,CAVERSHAM,WA,6055,,Government,primary
Youth Futures Community School (Caversham),CAVERSHAM,WA,6055,,Private,secondary
Guildford Grammar School,GUILDFORD,WA,6055,,Private,secondary
Middle Swan Primary School,STRATTON,WA,6056,,Government,primary
Governor Stirling Senior High School,WOODBRIDGE,WA,6056,,Government,secondary
Woodbridge Primary School,WOODBRIDGE,WA,6056,,Government,primary
Swan Christian College - Junior School Campus,MIDDLE SWAN,WA,6056,,Private,primary
St Brigid's Primary School,MIDDLE SWAN,WA,6056,,Catholic,primary
Clayton View Primary School,KOONGAMIA,WA,6056,,Government,primary
Alta-1 College - Middle Swan campus,MIDDLE SWAN,WA,6056,,Private,secondary
Youth Futures Community School,MIDLAND,WA,6056,,Private,secondary
Moorditj Noongar Community College,MIDLAND,WA,6056,,Government,primary
Swan Christian College - Alkimos Campus (Northshore),MIDDLE SWAN,WA,6056,,Private,secondary
Swan Christian College - Alkimos Campus (Northshore),MIDDLE SWAN,WA,6056,,Private,primary
Swan Christian College,MIDDLE SWAN,WA,6056,90,Private,secondary
La Salle College,MIDDLE SWAN,WA,6056,,Catholic,secondary
Youth Futures Community School (Midland),MIDLAND,WA,6056,,Private,secondary
Indie School Western Australia,MIDLAND,WA,6056,,Private,secondary
Helena Valley Primary School,HELENA VALLEY,WA,6056,,Government,primary
Herne Hill Primary School,HERNE HILL,WA,6056,,Government,primary
Midvale Primary School,MIDVALE,WA,6056,,Government,primary
St Anthony's School,GREENMOUNT,WA,6056,,Catholic,primary
Swan View Primary School,SWAN VIEW,WA,6056,,Government,primary
Greenmount Primary School,GREENMOUNT,WA,6056,,Government,primary
Swan View Senior High School,SWAN VIEW,WA,6056,,Government,secondary
School of Special Educational Needs: Behaviour and Engagement - Midland Learning Academy,MIDLAND,WA,6056,,Government,secondary
Helena River Steiner School,MIDLAND,WA,6056,,Private,primary
Matthew Gibney Catholic Primary School,HIGH WYCOMBE,WA,6057,,Catholic,primary
Maida Vale Primary School,MAIDA VALE,WA,6057,,Government,primary
High Wycombe Primary School,HIGH WYCOMBE,WA,6057,,Government,primary
Edney Primary School,HIGH WYCOMBE,WA,6057,,Government,primary
Dawson Park Primary School,FORRESTFIELD,WA,6058,,Government,primary
Darling Range Sports College,FORRESTFIELD,WA,6058,,Government,secondary
HillSide Christian College,FORRESTFIELD,WA,6058,90,Private,secondary
Heritage College Perth,FORRESTFIELD,WA,6058,,Private,primary
Heritage College Perth,FORRESTFIELD,WA,6058,92,Private,secondary
HillSide Christian College,FORRESTFIELD,WA,6058,,Private,primary
Woodlupine Primary School,FORRESTFIELD,WA,6058,,Government,primary
Forrestfield Primary School,FORRESTFIELD,WA,6058,,Government,primary
Dianella Secondary College Education Support Centre,DIANELLA,WA,6059,,Government,secondary
Carmel School,DIANELLA,WA,6059,100,Private,secondary
Carmel School,DIANELLA,WA,6059,93,Private,primary
Our Lady's Assumption School,DIANELLA,WA,6059,95,Catholic,primary
St Andrew's Grammar,DIANELLA,WA,6059,96,Private,primary
St Andrew's Grammar,DIANELLA,WA,6059,93,Private,secondary
Dianella Primary College,DIANELLA,WA,6059,,Government,primary
Australian Islamic College (Dianella),DIANELLA,WA,6059,97,Private,secondary
West Morley Primary School,DIANELLA,WA,6059,,Government,primary
Dianella Heights Primary School,DIANELLA,WA,6059,97,Government,primary
Australian Islamic College (Dianella),DIANELLA,WA,6059,100,Private,primary
Dianella Secondary College,DIANELLA,WA,6059,,Government,secondary
Banksia Montessori School,DIANELLA,WA,6059,,Private,primary
North East Metropolitan Language Development Centre,DIANELLA,WA,6059,,Government,primary
North Morley Primary School,DIANELLA,WA,6059,,Government,primary
Sutherland Dianella Primary School,DIANELLA,WA,6059,95,Government,primary
Yokine Primary School,YOKINE,WA,6060,94,Government,primary
Tuart College,TUART HILL,WA,6060,,Government,secondary
Tuart Hill Primary School,TUART HILL,WA,6060,,Government,primary
St Denis School,JOONDANNA,WA,6060,,Catholic,primary
St Kieran Catholic Primary School,TUART HILL,WA,6060,,Catholic,primary
Servite College,TUART HILL,WA,6060,,Catholic,secondary
Balga Senior High School,BALGA,WA,6061,,Government,secondary
Dryandra Primary School,MIRRABOOKA,WA,6061,,Government,primary
Our Lady of Lourdes School,NOLLAMARA,WA,6061,,Catholic,primary
West Coast Steiner School,NOLLAMARA,WA,6061,92,Private,primary
Balga Primary School,BALGA,WA,6061,,Government,primary
Nollamara Primary School,NOLLAMARA,WA,6061,,Government,primary
Warriapendi Primary School,BALGA,WA,6061,,Government,primary
North Balga Primary School,BALGA,WA,6061,,Government,primary
Boyare Primary School,MIRRABOOKA,WA,6061,,Government,primary
Gladys Newton School,BALGA,WA,6061,,Government,secondary
The Y Vocational School,MIRRABOOKA,WA,6061,,Private,secondary
John Septimus Roe Anglican Community School,MIRRABOOKA,WA,6061,93,Private,secondary
John Septimus Roe Anglican Community School,MIRRABOOKA,WA,6061,,Private,primary
Majella Catholic Primary School,BALGA,WA,6061,,Catholic,primary
Westminster Education Support Centre,WESTMINSTER,WA,6061,,Government,primary
St Gerard's Catholic Primary School,WESTMINSTER,WA,6061,,Catholic,primary
North East Metropolitan Language Development Centre - North Balga Campus,BALGA,WA,6061,,Government,primary
Westminster Junior Primary School,WESTMINSTER,WA,6061,,Government,primary
Westminster Primary School,WESTMINSTER,WA,6061,,Government,primary
Gladys Newton School,BALGA,WA,6061,,Government,primary
Camboon Primary School,NORANDA,WA,6062,,Government,primary
John Forrest Secondary College,MORLEY,WA,6062,90,Government,secondary
Morley Senior High School,NORANDA,WA,6062,,Government,secondary
Hampton Senior High School,MORLEY,WA,6062,,Government,secondary
Noranda Primary School,NORANDA,WA,6062,,Government,primary
Embleton Primary School,EMBLETON,WA,6062,,Government,primary
Weld Square Primary School,MORLEY,WA,6062,,Government,primary
Infant Jesus School,MORLEY,WA,6062,91,Catholic,primary
Morley Primary School,MORLEY,WA,6062,,Government,primary
Hampton Park Primary School,MORLEY,WA,6062,,Government,primary
North East Metropolitan Language Development Centre - Beechboro Campus,BEECHBORO,WA,6063,,Government,primary
Beechboro Christian School,BEECHBORO,WA,6063,93,Private,primary
West Beechboro Primary School,BEECHBORO,WA,6063,,Government,primary
Beechboro Primary School,BEECHBORO,WA,6063,,Government,primary
East Beechboro Primary School,BEECHBORO,WA,6063,,Government,primary
John Septimus Roe Anglican Community School - John Septimus Roe (Beechboro),BEECHBORO,WA,6063,,Private,primary
Rawlinson Primary School,MARANGAROO,WA,6064,,Government,primary
Girrawheen Senior High School,GIRRAWHEEN,WA,6064,,Government,secondary
Emmanuel Christian Community School - Casserley Avenue Campus,GIRRAWHEEN,WA,6064,,Private,secondary
Emmanuel Christian Community School - Casserley Avenue Campus,GIRRAWHEEN,WA,6064,,Private,primary
Emmanuel Christian Community School,GIRRAWHEEN,WA,6064,94,Private,secondary
Emmanuel Christian Community School,GIRRAWHEEN,WA,6064,,Private,primary
Roseworth Primary School,GIRRAWHEEN,WA,6064,,Government,primary
Hudson Park Primary School,GIRRAWHEEN,WA,6064,,Government,primary
Roseworth Education Support Centre,GIRRAWHEEN,WA,6064,,Government,primary
Waddington Primary School,KOONDOOLA,WA,6064,,Government,primary
Burbridge School,KOONDOOLA,WA,6064,,Government,primary
Burbridge School,KOONDOOLA,WA,6064,,Government,secondary
Mercy College,KOONDOOLA,WA,6064,,Catholic,primary
Koondoola Primary School,KOONDOOLA,WA,6064,,Government,primary
Mercy College,KOONDOOLA,WA,6064,,Catholic,secondary
Alinjarra Primary School,ALEXANDER HEIGHTS,WA,6064,,Government,primary
Marangaroo Primary School,MARANGAROO,WA,6064,,Government,primary
Our Lady of Mercy Primary School,GIRRAWHEEN,WA,6064,,Catholic,primary
Tapping Primary School,TAPPING,WA,6065,,Government,primary
Kingsway Christian College,DARCH,WA,6065,94,Private,primary
Kingsway Christian College,DARCH,WA,6065,96,Private,secondary
Hocking Primary School,HOCKING,WA,6065,,Government,primary
St Elizabeth's Catholic Primary School,HOCKING,WA,6065,92,Catholic,primary
Wanneroo Primary School,WANNEROO,WA,6065,,Government,primary
Ashdale Primary School,DARCH,WA,6065,,Government,primary
Madeley Primary School,MADELEY,WA,6065,,Government,primary
Landsdale Christian School,LANDSDALE,WA,6065,,Private,secondary
Landsdale Christian School,LANDSDALE,WA,6065,,Private,primary
Spring Hill Primary School,TAPPING,WA,6065,,Government,primary
Landsdale Primary School,LANDSDALE,WA,6065,90,Government,primary
Wanneroo Secondary College,WANNEROO,WA,6065,,Government,secondary
East Wanneroo Primary School,WANNEROO,WA,6065,,Government,primary
St Anthony's School,WANNEROO,WA,6065,,Catholic,primary
Pearsall Primary School,PEARSALL,WA,6065,93,Government,primary
St Stephen's School - Carramar Campus,TAPPING,WA,6065,,Private,primary
St Stephen's School - Carramar Campus,TAPPING,WA,6065,,Private,secondary
Carnaby Rise Primary School,LANDSDALE,WA,6065,,Government,primary
Ashdale Secondary College,DARCH,WA,6065,91,Government,secondary
Illawarra Primary School,BALLAJURA,WA,6066,,Government,primary
Ballajura Community College,BALLAJURA,WA,6066,,Government,secondary
Mary MacKillop Catholic Community Primary School,BALLAJURA,WA,6066,91,Catholic,primary
South Ballajura Education Support Centre,BALLAJURA,WA,6066,,Government,primary
South Ballajura Primary School,BALLAJURA,WA,6066,,Government,primary
Ballajura Primary School,BALLAJURA,WA,6066,95,Government,primary
Alta-1 College - Ellenbrook Campus,ELLENBROOK,WA,6069,,Private,secondary
Aveley Secondary College,ELLENBROOK,WA,6069,,Government,secondary
Anne Hamersley Primary School,ELLENBROOK,WA,6069,,Government,primary
Malvern Springs Primary School,ELLENBROOK,WA,6069,,Government,primary
Ellenbrook Christian College,ELLENBROOK,WA,6069,90,Private,secondary
Ellenbrook Christian College,ELLENBROOK,WA,6069,,Private,primary
Ellen Stirling Primary School,ELLENBROOK,WA,6069,,Government,primary
Arbor Grove Primary School,ELLENBROOK,WA,6069,,Government,primary
Ellenbrook Primary School,ELLENBROOK,WA,6069,,Government,primary
Ellenbrook Secondary College,ELLENBROOK,WA,6069,,Government,secondary
Holy Cross College,ELLENBROOK,WA,6069,,Catholic,secondary
St Helena's Catholic Primary School,ELLENBROOK,WA,6069,,Catholic,primary
Aveley North Primary School,AVELEY,WA,6069,,Government,primary
Aveley Primary School,AVELEY,WA,6069,,Government,primary
Swan Valley Anglican Community School,AVELEY,WA,6069,92,Private,secondary
Swan Valley Anglican Community School,AVELEY,WA,6069,,Private,primary
Upper Swan Primary School,UPPER SWAN,WA,6069,,Government,primary
Holy Cross College,ELLENBROOK,WA,6069,,Catholic,primary
Darlington Primary School,DARLINGTON,WA,6070,96,Government,primary
Treetops Montessori School,DARLINGTON,WA,6070,93,Private,secondary
Treetops Montessori School,DARLINGTON,WA,6070,,Private,primary
Helena College,DARLINGTON,WA,6070,,Private,primary
Glen Forrest Primary School,GLEN FORREST,WA,6071,91,Government,primary
Helena College,GLEN FORREST,WA,6071,96,Private,primary
Helena College,GLEN FORREST,WA,6071,96,Private,secondary
Mundaring Primary School,MUNDARING,WA,6073,,Government,primary
Mundaring Christian College,MUNDARING,WA,6073,,Private,primary
Sacred Heart School,MUNDARING,WA,6073,,Catholic,primary
Sawyers Valley Primary School,SAWYERS VALLEY,WA,6074,,Government,primary
Lesmurdie Primary School,LESMURDIE,WA,6076,,Government,primary
Kalamunda Secondary Education Support Centre,KALAMUNDA,WA,6076,,Government,secondary
Pickering Brook Primary School,PICKERING BROOK,WA,6076,,Government,primary
Kalamunda Primary Education Support Centre,KALAMUNDA,WA,6076,,Government,primary
Kalamunda Primary School,KALAMUNDA,WA,6076,,Government,primary
Kalamunda Senior High School,KALAMUNDA,WA,6076,,Government,secondary
Carmel Adventist College Primary School,BICKLEY,WA,6076,92,Private,primary
Lesmurdie Senior High School,LESMURDIE,WA,6076,93,Government,secondary
Carmel Adventist College,CARMEL,WA,6076,,Private,secondary
Falls Road Primary School,LESMURDIE,WA,6076,91,Government,primary
Mazenod College,LESMURDIE,WA,6076,93,Catholic,secondary
St Brigid's College,LESMURDIE,WA,6076,,Private,primary
St Brigid's College,LESMURDIE,WA,6076,90,Private,secondary
Gooseberry Hill Primary School,GOOSEBERRY HILL,WA,6076,91,Government,primary
Mary's Mount Primary School,GOOSEBERRY HILL,WA,6076,,Catholic,primary
Walliston Primary School,WALLISTON,WA,6076,,Government,primary
Kalamunda Christian School,WALLISTON,WA,6076,91,Private,primary
The Silver Tree Steiner School,PARKERVILLE,WA,6081,,Private,primary
Parkerville Primary School,PARKERVILLE,WA,6081,,Government,primary
Mundaring Christian College - Parkerville Campus,PARKERVILLE,WA,6081,,Private,secondary
Parkerville Steiner College,PARKERVILLE,WA,6081,,Private,secondary
Bible Baptist Christian Academy,MOUNT HELENA,WA,6082,,Private,secondary
Eastern Hills Senior High School,MOUNT HELENA,WA,6082,,Government,secondary
Mount Helena Primary School,MOUNT HELENA,WA,6082,,Government,primary
Bible Baptist Christian Academy,MOUNT HELENA,WA,6082,,Private,primary
Gidgegannup Primary School,GIDGEGANNUP,WA,6083,,Government,primary
Immaculate Heart College,LOWER CHITTERING,WA,6084,,Private,primary
Bullsbrook College,BULLSBROOK,WA,6084,,Government,secondary
Bullsbrook College,BULLSBROOK,WA,6084,,Government,primary
Immaculate Heart College,LOWER CHITTERING,WA,6084,,Private,secondary
Victoria Park Christian School,VICTORIA PARK,WA,6100,,Private,primary
Perth Montessori School,BURSWOOD,WA,6100,,Private,primary
Ursula Frayne Catholic College,VICTORIA PARK,WA,6100,96,Catholic,secondary
Lathlain Primary School,LATHLAIN,WA,6100,92,Government,primary
St Clare's School,LATHLAIN,WA,6100,,Catholic,secondary
Perth Montessori School,BURSWOOD,WA,6100,,Private,secondary
Regent College,VICTORIA PARK,WA,6100,98,Private,primary
Ursula Frayne Catholic College - Primary Campus,VICTORIA PARK,WA,6100,,Catholic,primary
Victoria Park Primary School,VICTORIA PARK,WA,6100,98,Government,primary
East Victoria Park Education Support Centre,EAST VICTORIA PARK,WA,6101,,Government,primary
Carson Street School,EAST VICTORIA PARK,WA,6101,,Government,primary
East Victoria Park Primary School,EAST VICTORIA PARK,WA,6101,,Government,primary
Millen Primary School,EAST VICTORIA PARK,WA,6101,94,Government,primary
Canning College,BENTLEY,WA,6102,,Government,secondary
Santa Clara School,ST JAMES,WA,6102,,Catholic,primary
Bentley Primary School,BENTLEY,WA,6102,,Government,primary
Al-Hidayah Islamic School,BENTLEY,WA,6102,,Private,primary
St Augustine's School,RIVERVALE,WA,6103,,Catholic,primary
Rivervale Primary School,RIVERVALE,WA,6103,,Government,primary
St Maria Goretti's Catholic School,REDCLIFFE,WA,6104,,Catholic,primary
Belmont City College,BELMONT,WA,6104,,Government,secondary
Alta-1 College - Belmont Campus,BELMONT,WA,6104,,Private,secondary
Belmont Primary School,BELMONT,WA,6104,,Government,primary
Redcliffe Primary School,REDCLIFFE,WA,6104,,Government,primary
Australian Islamic College (Kewdale),KEWDALE,WA,6105,95,Private,secondary
Australian Islamic College (Kewdale),KEWDALE,WA,6105,99,Private,primary
Kewdale Primary School,KEWDALE,WA,6105,,Government,primary
Belmay Primary School,CLOVERDALE,WA,6105,,Government,primary
